Epoch: 117, aver_loss : 0.04458, R@20: 0.0328, N@20: 0.0257, time:83.42 seconds
Epoch: 118, aver_loss : 0.04444, R@20: 0.0327, N@20: 0.0257, time:83.43 seconds
Epoch: 119, aver_loss : 0.04423, R@20: 0.0329, N@20: 0.0258, time:83.44 seconds
Epoch: 120, aver_loss : 0.04377, R@20: 0.0329, N@20: 0.0258, time:83.42 seconds
Epoch: 121, aver_loss : 0.04372, R@20: 0.0329, N@20: 0.0258, time:83.43 seconds
Epoch: 122, aver_loss : 0.04320, R@20: 0.0330, N@20: 0.0258, time:83.43 seconds
Epoch: 123, aver_loss : 0.04337, R@20: 0.0330, N@20: 0.0259, time:83.44 seconds
Epoch: 124, aver_loss : 0.04328, R@20: 0.0330, N@20: 0.0260, time:83.42 seconds
Epoch: 125, aver_loss : 0.04267, R@20: 0.0332, N@20: 0.0261, time:83.44 seconds
Epoch: 126, aver_loss : 0.04254, R@20: 0.0333, N@20: 0.0261, time:83.44 seconds
Epoch: 127, aver_loss : 0.04244, R@20: 0.0332, N@20: 0.0261, time:83.45 seconds
Epoch: 128, aver_loss : 0.04221, R@20: 0.0333, N@20: 0.0262, time:83.42 seconds
Epoch: 129, aver_loss : 0.04181, R@20: 0.0333, N@20: 0.0262, time:83.43 seconds
Epoch: 130, aver_loss : 0.04184, R@20: 0.0333, N@20: 0.0262, time:83.42 seconds
Epoch: 131, aver_loss : 0.04153, R@20: 0.0335, N@20: 0.0262, time:83.43 seconds
Epoch: 132, aver_loss : 0.04123, R@20: 0.0335, N@20: 0.0263, time:83.41 seconds
Epoch: 133, aver_loss : 0.04156, R@20: 0.0336, N@20: 0.0263, time:83.42 seconds
Epoch: 134, aver_loss : 0.04097, R@20: 0.0335, N@20: 0.0263, time:83.42 seconds
Epoch: 135, aver_loss : 0.04082, R@20: 0.0335, N@20: 0.0263, time:83.44 seconds
Epoch: 136, aver_loss : 0.04089, R@20: 0.0336, N@20: 0.0264, time:83.42 seconds
Epoch: 137, aver_loss : 0.04064, R@20: 0.0336, N@20: 0.0264, time:83.43 seconds
Epoch: 138, aver_loss : 0.04046, R@20: 0.0338, N@20: 0.0265, time:83.41 seconds
